"Name","Slug","Summary","Body","Path","CategorySlug","CategoryPathSlug","VideoUrl","SourceFile"
"Deleting SOAP Notes Guide","deleting-soap-notes-guide","Guide for Deleting SOAP Notes Guide","<p><video controls src=""/videos/deleting-soap-notes-guide.mp4"" style=""width: 100%""></video></p>
<p>This article will guide you through the process of deleting both open and completed SOAP notes from a patient&#39;s timeline.</p>
<h3>Step 1: Navigate to the patient&#39;s timeline. Here, you&#39;ll find open SOAP notes, which are identifiable by a trash can icon next to them. To delete an open SOAP note, click on the trash can icon next to the note you wish to delete.</h3>
<h3>Step 2: After clicking on the trash can icon, you&#39;ll be asked to confirm your decision. Click on delete to remove the SOAP note from the patient&#39;s chart.</h3>
<h3>Step 3: If you need to delete a completed SOAP note due to an issue in the documentation, you&#39;ll need to do this from the admin dashboard. Access the admin dashboard by visiting privacy.com/admin-dashboard.</h3>
<h3>Step 4: Copy the patient ID.</h3>
<h3>Step 5: Once you&#39;re in the admin dashboard, you&#39;ll see all the date of services and scheduled appointments for the patient. Locate the appointment that needs to be deleted.</h3>
<h3>Step 6: Click on the date of service for the appointment you wish to delete.</h3>
<h3>Step 7: After clicking on the date of service, you&#39;ll be given the option to delete the SOAP note. Click on delete.</h3>
<h3>Step 8: You&#39;ll be asked to confirm your decision. Click on delete again, and the SOAP note will be removed from the patient&#39;s chart.</h3>
<p>By following these steps, you&#39;ll be able to successfully delete both open and completed SOAP notes from a patient&#39;s timeline.</p>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/deleting-soap-notes-guide.md"
"How to Add an Addendum in Patient Dashboard","how-to-add-an-addendum-in-patient-dashboard","Guide for How to Add an Addendum in Patient Dashboard","<p><video controls src=""/videos/how-to-add-an-addendum-in-patient-dashboard.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Add an addendum, you have to go to the patient dashboard.</h3>
<h3>Step 2: Once you&#39;re here, you can search for your patient.</h3>
<h3>Step 3: And view the profile.</h3>
<h3>Step 4: This way, you will reach the patient timeline. Now you can go to the SOAP note.</h3>
<h3>Step 5: You will reach the summary. On the right hand upper corner, you will see add addendum.</h3>
<h3>Step 6: You have to click on it, and you will reach the SOAP documentation.</h3>
<h3>Step 7: You can make any changes you want.</h3>
<h3>Step 8:</h3>
<h3>Step 9:</h3>
<h3>Step 10:</h3>
<h3>Step 11:</h3>
<h3>Step 12:</h3>
<h3>Step 13:</h3>
<h3>Step 14: Click save. It will be saved successfully.</h3>
<h3>Step 15: You can go to the next section and add necessary additions.</h3>
<h3>Step 16:</h3>
<h3>Step 17:</h3>
<h3>Step 18:</h3>
<h3>Step 19:</h3>
<h3>Step 20:</h3>
<h3>Step 21:</h3>
<h3>Step 22:</h3>
<h3>Step 23: Once yu reach the summary section, click complete soap.</h3>
<h3>Step 24:</h3>
<h3>Step 25:</h3>
<h3>Step 26:</h3>
<h3>Step 27: Addendum added.</h3>
<h3>Step 28: You can see that in Patient&#39;s timeline.</h3>
<h3>Step 29:</h3>
<h3>Step 30:  Thank You!</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/how-to-add-an-addendum-in-patient-dashboard.md"
"How to change the case within a Note","how-to-change-the-case-within-a-note","Guide for How to change the case within a Note","<p><video controls src=""/videos/how-to-change-the-case-within-a-note.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to change the case within a note. </p>
<h3>Step 1: Navigate to the SOAP notes.</h3>
<h3>Step 2: View the SOAP notes.</h3>
<h3>Step 3: Click on the SOAP note you want to change.</h3>
<h3>Step 4: Look for the case you want to modify.</h3>
<h3>Step 5: Click on the plus sign to create a new case.</h3>
<h3>Step 6: Enter the case title.</h3>
<h3>Step 7: Select the specialty for the case.</h3>
<h3>Step 8: Choose the body part related to the case.</h3>
<h3>Step 9: Fill in the mandatory details.</h3>
<h3>Step 10: Click on &quot;Create&quot; to create the new case.</h3>
<h3>Step 11: Click on &quot;S&quot; to save your changes.</h3>
<p>Your case with the new updates is now ready. Thank you for following this tutorial.</p>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/how-to-change-the-case-within-a-note.md"
"How To Create an Exercise Program_HEP","how-to-create-an-exercise-programhep","Guide for How To Create an Exercise Program_HEP","<p><video controls src=""/videos/how-to-create-an-exercise-programhep.mp4"" style=""width: 100%""></video></p>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/how-to-create-an-exercise-programhep.md"
"How to Use Flowsheets","how-to-use-flowsheets","Guide for How to Use Flowsheets","<p><video controls src=""/videos/how-to-use-flowsheets.mp4"" style=""width: 100%""></video></p>
<p>This article will guide you on how to use Flowsheets effectively.</p>
<h3>Step 1: Begin in the Planning section. Here, add your CPT codes.</h3>
<h3>Step 2: Include any exercises or programs performed.</h3>
<h3>Step 3: Feel free to add any notes.</h3>
<h3>Step 4: Click on Sync to Flowsheet.</h3>
<p>You&#39;ll find the flowsheet in the documentation or in the patient&#39;s chart.</p>
<h3>Step 5: After syncing, the flowsheet is ready. You&#39;re also able to add exercises from the Flowsheet view.</h3>
<h3>Step 6: Adjust the reps, the sets, and add any additional notes.</h3>
<h3>Step 7: Choose the status to show that the exercise was performed.</h3>
<p>Remember, you&#39;re able to sync back to your SOAP note as long as the SOAP note is open for the day.</p>
<h3>Step 8: Once the SOAP note is synced back in your documentation, click Refresh. You&#39;ll then see the updated exercises synced from the flowsheet.</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/how-to-use-flowsheets.md"
"Introducing AI Scribe: Automate Your SOAP Note Creation","introducing-ai-scribe-automate-your-soap-note-creation","Guide for Introducing AI Scribe: Automate Your SOAP Note Creation","<p><video controls src=""/videos/introducing-ai-scribe-automate-your-soap-note-creation.mp4"" style=""width: 100%""></video></p>
<p>Spry serves as a personal assistant, streamlining and automating the process of note creation. This allows for more focus on patient care. Spry is fast, accurate, and eliminates the need for manual documentation. Here&#39;s how to use it:Accessing Spry</p>
<h3>Step 1: Select the scheduled appointment.</h3>
<h3>Step 2: This will lead to the documentation screen.</h3>
<p>Using AI Scribe</p>
<h3>Step 3: Locate the AI scribe icon in the top right corner and click on it to open the scribe and begin documentation.</h3>
<p>AI Scribe provides two methods for creating spoken notes: recording the entire conversation with the patient, or quickly dictating notes into the system.
Quick Dictation</p>
<h3>Step 4: Try the quick dictation option. Speak the observations directly into the system.</h3>
<p>For instance, &quot;Pain level at six out of ten, difficulty fully straightening and bending knee, quadriceps muscle strength graded three out of five. Gait affected with noticeable discomfort and weakness. Difficulty standing on one leg due to instability. Plan for pain management, gentle exercises, strengthening quadriceps, improving gait and balance.&quot;</p>
<h3>Step 5: Click on &#39;stop recording&#39;</h3>
<p>and then &#39;apply transcript&#39;.
The notes will automatically fill in the SOAP format. The transcript can be reapplied at any time if necessary.Finalizing Notes</p>
<h3>Step 6: Review the summary, complete the assessment and plan section. Once done, the process is complete.</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/introducing-ai-scribe-automate-your-soap-note-creation.md"
"Note Types","note-types","Guide for Note Types","<p><video controls src=""/videos/note-types.mp4"" style=""width: 100%""></video></p>
<h3>Step 1:  Click on appointment tile, select - Add documentation.</h3>
<h3>Step 2:  Select note type from following options - initial evaluation, reevaluation, follow-up, progress note, discharge note, extended, and discharge note simple.</h3>
<h3>Step 3:</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/note-types.md"
"Occupational Therapy Workflow Overview","occupational-therapy-workflow-overview","Guide for Occupational Therapy Workflow Overview","<p><video controls src=""/videos/occupational-therapy-workflow-overview.mp4"" style=""width: 100%""></video></p>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/occupational-therapy-workflow-overview.md"
"SOAP Control Panel Overview","soap-control-panel-overview","Guide for SOAP Control Panel Overview","<p><video controls src=""/videos/soap-control-panel-overview.mp4"" style=""width: 100%""></video></p>
<p>This guide provides a walkthrough on how to use the Soap Control Panel. This tool allows users to view and modify parameters of a soap node, which in turn fetches the corresponding template.Begin by opening the Soap Control Panel. </p>
<h3>Step 1: Click on the header to open the Soap Control Panel.</h3>
<p>This reveals all the parameters based on which the soap node and template are fetched.</p>
<h3>Step 2: Observe the template name. This is determined by the selected parameters.</h3>
<p>The parameters include case insurance, cardinal case insurance card, apartment type, and note type.
To modify a parameter:</p>
<h3>Step 3: Select the parameter to change. For instance, if the insurance card is not matching, change the insurance card.</h3>
<h3>Step 4: Apply the changes. The new template will then be fetched based on the updated parameters.</h3>
<p>The parameters of a specific sub-node of the node type can also be altered.</p>
<h3>Step 5: Change the parameters of the sub-node.</h3>
<h3>Step 6: Hit apply to implement the changes.</h3>
<p>The node will now reflect the updated parameters. For example, it may change to a progress node.</p>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/soap-control-panel-overview.md"
"SOAP Notes Dashboard Overview","soap-notes-dashboard-overview","Guide for SOAP Notes Dashboard Overview","<p><video controls src=""/videos/soap-notes-dashboard-overview.mp4"" style=""width: 100%""></video></p>
<p>This guide provides a detailed walkthrough of the SOAP notes tab, a staging area for all dates of services. It&#39;s a comprehensive tool for tracking SOAP completion status, accessing and editing notes, and monitoring billing and claim submission errors.Start by exploring the SOAP notes tab:</p>
<h3>Step 1: Look at the SOAP completion status, indicated by the status check mark, and the details about each section of the note.</h3>
<h3>Step 2: Access the note by clicking on the eye icon.</h3>
<p>Alternatively, access the note from the patient chart:</p>
<h3>Step 1: Click on the patient name.</h3>
<p>Filters are available on the right hand side for easy viewing.Next, learn how to keep track of unbilled notes:</p>
<h3>Step 1: Click on &quot;not initiated&quot; to track any notes that haven&#39;t been started yet.The SOAP note tab also helps improve your clean claim pass rate:</h3>
<h3>Step 1: Click on the error to view errors that can be edited prior to claim submission.</h3>
<h3>Step 2: Monitor these errors with your team.</h3>
<h3>Step 3: Add tags for appropriate follow-up.</h3>
<h3>Step 4: Edit errors from this section.</h3>
<p>Finally, explore other features of the SOAP notes tab:</p>
<h3>Step 1: Use the option to bulk cosign notes.</h3>
<h3>Step 2: Download reports or print.</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/soap-notes-dashboard-overview.md"
"Structure of the SOAP Note - Daily Note Workflow","structure-of-the-soap-note-daily-note-workflow","Guide for Structure of the SOAP Note - Daily Note Workflow","<p><video controls src=""/videos/structure-of-the-soap-note-daily-note-workflow.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Create a daily note.</h3>
<h3>Step 2:</h3>
<h3>Step 3: Select appropriate note type.</h3>
<h3>Step 4: Data from previous visit note will feed forward. Enter any data as necessary.</h3>
<h3>Step 5:</h3>
<h3>Step 6:</h3>
<h3>Step 7:</h3>
<h3>Step 8:</h3>
<h3>Step 9:</h3>
<h3>Step 10:</h3>
<h3>Step 11: Objective information feeds forward from the previous visit.</h3>
<h3>Step 12: Make changes as necessary, or add further parameters.</h3>
<h3>Step 13:</h3>
<h3>Step 14:</h3>
<h3>Step 15:</h3>
<h3>Step 16:</h3>
<h3>Step 17:</h3>
<h3>Step 18:</h3>
<h3>Step 19: Assessment page, data feeds forward from previous visit.</h3>
<h3>Step 20: Make changes as necessary.</h3>
<h3>Step 21:</h3>
<h3>Step 22: Plan section, data feeds forward. Make changes as necessary for that date of service billing.</h3>
<h3>Step 23:</h3>
<h3>Step 24:</h3>
<h3>Step 25:</h3>
<h3>Step 26:</h3>
<h3>Step 27:</h3>
<h3>Step 28:</h3>
<h3>Step 29:</h3>
<h3>Step 30:</h3>
<h3>Step 31:</h3>
<h3>Step 32:</h3>
<h3>Step 33:</h3>
<h3>Step 34:</h3>
<h3>Step 35:</h3>
<h3>Step 36: Send HEP as necessary.</h3>
<h3>Step 37: Summary page, subjective, objective, assessment, and plan. Make edits as necessary. Complete soap.</h3>
<h3>Step 38:</h3>
<h3>Step 39:</h3>
<h3>Step 40:</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/structure-of-the-soap-note-daily-note-workflow.md"
